account_id,bank_name,is_mule,entity_id,created_timestamp
ACCV2_0000001,IndusInd,True,ENT_V2_000001,2023-07-19T00:00:00
ACCV2_0000002,Yes Bank,True,ENT_V2_000002,2023-01-07T00:00:00
ACCV2_0000003,PNB,True,ENT_V2_000002,2024-05-01T00:00:00
ACCV2_0000004,Paytm PB,True,ENT_V2_000002,2024-03-20T00:00:00
ACCV2_0000005,PNB,True,ENT_V2_000002,2023-12-03T00:00:00
ACCV2_0000006,Paytm PB,True,ENT_V2_000002,2023-06-26T00:00:00
ACCV2_0000007,SBI,True,ENT_V2_000002,2023-12-20T00:00:00
ACCV2_0000008,Kotak,True,ENT_V2_000003,2024-11-07T00:00:00
ACCV2_0000009,Paytm PB,True,ENT_V2_000004,2023-07-03T00:00:00
ACCV2_0000010,Axis,True,ENT_V2_000005,2024-07-23T00:00:00
ACCV2_0000011,ICICI,True,ENT_V2_000006,2023-07-28T00:00:00
ACCV2_0000012,IndusInd,True,ENT_V2_000007,2023-10-18T00:00:00
ACCV2_0000013,Kotak,True,ENT_V2_000007,2023-05-21T00:00:00
ACCV2_0000014,HDFC,True,ENT_V2_000008,2024-07-02T00:00:00
ACCV2_0000015,IndusInd,True,ENT_V2_000009,2023-01-23T00:00:00
ACCV2_0000016,IndusInd,True,ENT_V2_000010,2024-03-12T00:00:00
ACCV2_0000017,PNB,True,ENT_V2_000011,2024-08-26T00:00:00
ACCV2_0000018,HDFC,True,ENT_V2_000012,2023-08-28T00:00:00
ACCV2_0000019,IndusInd,True,ENT_V2_000012,2024-09-08T00:00:00
ACCV2_0000020,HDFC,True,ENT_V2_000013,2024-01-17T00:00:00
ACCV2_0000021,Yes Bank,True,ENT_V2_000013,2024-07-17T00:00:00
ACCV2_0000022,Paytm PB,True,ENT_V2_000014,2023-01-18T00:00:00
ACCV2_0000023,ICICI,True,ENT_V2_000015,2023-06-19T00:00:00
ACCV2_0000024,Axis,True,ENT_V2_000015,2023-11-13T00:00:00
ACCV2_0000025,PNB,True,ENT_V2_000016,2024-11-06T00:00:00
ACCV2_0000026,Yes Bank,True,ENT_V2_000017,2023-04-27T00:00:00
ACCV2_0000027,ICICI,True,ENT_V2_000017,2024-06-28T00:00:00
ACCV2_0000028,IndusInd,True,ENT_V2_000017,2024-05-05T00:00:00
ACCV2_0000029,Paytm PB,True,ENT_V2_000017,2023-03-05T00:00:00
ACCV2_0000030,PNB,True,ENT_V2_000017,2023-08-21T00:00:00
ACCV2_0000031,Axis,True,ENT_V2_000017,2023-01-08T00:00:00
ACCV2_0000032,IndusInd,True,ENT_V2_000018,2024-10-14T00:00:00
ACCV2_0000033,ICICI,True,ENT_V2_000019,2023-02-10T00:00:00
ACCV2_0000034,Paytm PB,True,ENT_V2_000020,2024-02-27T00:00:00
ACCV2_0000035,Paytm PB,True,ENT_V2_000020,2023-06-06T00:00:00
ACCV2_0000036,Paytm PB,True,ENT_V2_000020,2024-09-13T00:00:00
ACCV2_0000037,Paytm PB,True,ENT_V2_000020,2024-01-25T00:00:00
ACCV2_0000038,ICICI,True,ENT_V2_000020,2023-12-16T00:00:00
ACCV2_0000039,ICICI,True,ENT_V2_000020,2024-03-08T00:00:00
ACCV2_0000040,ICICI,True,ENT_V2_000021,2024-01-04T00:00:00
ACCV2_0000041,Axis,True,ENT_V2_000022,2024-04-10T00:00:00
ACCV2_0000042,IndusInd,True,ENT_V2_000023,2023-01-16T00:00:00
ACCV2_0000043,SBI,True,ENT_V2_000024,2023-03-08T00:00:00
ACCV2_0000044,Kotak,True,ENT_V2_000024,2023-05-13T00:00:00
ACCV2_0000045,Axis,True,ENT_V2_000024,2023-04-29T00:00:00
ACCV2_0000046,Kotak,True,ENT_V2_000024,2023-05-06T00:00:00
ACCV2_0000047,Kotak,True,ENT_V2_000024,2023-01-16T00:00:00
ACCV2_0000048,IndusInd,True,ENT_V2_000024,2024-07-20T00:00:00
ACCV2_0000049,ICICI,True,ENT_V2_000025,2023-02-10T00:00:00
ACCV2_0000050,PNB,True,ENT_V2_000026,2024-06-20T00:00:00
ACCV2_0000051,Kotak,True,ENT_V2_000026,2024-03-15T00:00:00
ACCV2_0000052,SBI,True,ENT_V2_000026,2024-11-18T00:00:00
ACCV2_0000053,Paytm PB,True,ENT_V2_000026,2024-03-14T00:00:00
ACCV2_0000054,Kotak,True,ENT_V2_000027,2024-07-30T00:00:00
ACCV2_0000055,SBI,True,ENT_V2_000027,2023-05-08T00:00:00
ACCV2_0000056,PNB,True,ENT_V2_000027,2024-01-15T00:00:00
ACCV2_0000057,PNB,True,ENT_V2_000028,2023-03-21T00:00:00
ACCV2_0000058,IndusInd,True,ENT_V2_000029,2023-01-05T00:00:00
ACCV2_0000059,HDFC,True,ENT_V2_000030,2024-02-18T00:00:00
ACCV2_0000060,PNB,True,ENT_V2_000030,2024-02-10T00:00:00
ACCV2_0000061,Axis,True,ENT_V2_000031,2023-05-08T00:00:00
ACCV2_0000062,HDFC,True,ENT_V2_000031,2024-08-09T00:00:00
